date,title,amount
2025-09-04,Dl *Google Vpn Super U,19.99
2025-09-03,Recanto Olaria,33.00
2025-09-02,Uber* Trip,7.63
2025-09-02,Uber* Trip,9.52
2025-09-02,Uber Uber *Trip Help.U,9.52
2025-09-02,Andre Felipe Polzin,12.00
2025-09-02,Drogaria Catarinense,102.84
2025-09-01,Petz Joinville,127.00
2025-08-31,Wellhub Gympass Br Gym,89.90
2025-08-31,Ifd*Ifood Club,5.95
2025-08-30,Oiingressos,23.00
2025-08-30,Oiingressos,23.00
2025-08-30,Oiingressos,20.00
2025-08-30,Oiingressos,15.00
2025-08-30,Oiingressos,38.00
2025-08-30,Oiingressos,28.00
2025-08-29,Dl *Google Vpn Super U,19.99
2025-08-29,Mercadolivre*2produto,88.02
2025-08-29,Uber* Trip,9.68
2025-08-29,Transp Edemar Rus Sc-0,19.97
2025-08-28,Openai *Chatgpt Subscr,112.67
2025-08-28,Recanto Olaria,50.00
2025-08-28,"IOF de ""Openai *Chatgpt Subscr""",3.94
2025-08-28,Ajuste a crédito,-3.94
2025-08-28,Giassi Supermercados,121.76
2025-08-27,Dm *Spotify,34.90
2025-08-27,Apple.Com/Bill,17.43
2025-08-27,Uber Uber *Trip Help.U,9.30
2025-08-27,Uber* Trip,9.48
2025-08-26,iFood - NuPay,30.16
2025-08-25,Edson,110.00
2025-08-25,Ifd*Ifood Club,5.95
2025-08-24,Raia Drogasil,11.89
2025-08-24,Beto Carrero*Beto Carr - Parcela 1/6,38.97
2025-08-23,Mundialmix,75.29
2025-08-22,Mundialmix,26.76
2025-08-22,Ec *Shellbox,258.02
2025-08-22,Dl *Google Vpn Super U,19.99
2025-08-21,Petz Joinville,63.00
2025-08-20,Milium Loja,28.90
2025-08-20,Uber Uber *Trip Help.U,9.52
2025-08-20,Uber* Trip,14.69
2025-08-20,Uber* Trip,9.53
2025-08-20,Recanto Olaria,25.00
2025-08-20,"Estorno de ""Mercadopago *Comk""",-30.64
2025-08-19,Recanto Olaria,25.00
2025-08-19,Drogaria Catarinense,51.65
2025-08-18,Senapark,36.00
2025-08-17,NuTag*RDT2J99,3.50
2025-08-17,NuTag*RDT2J99,4.10
2025-08-17,NuTag*RDT2J99,4.10
2025-08-17,NuTag*RDT2J99,5.70
2025-08-17,NuTag*RDT2J99,5.70
2025-08-17,Heraldosantanade,200.00
2025-08-17,NuTag*RDT2J99,4.10
2025-08-17,NuTag*RDT2J99,4.10
2025-08-17,Uber* Trip,19.99
2025-08-17,Drogaria Carrefour Os,48.50
2025-08-17,Pao do Parque,130.00
2025-08-17,Dl *Google Produtos Gl,14.90
2025-08-17,NuTag*RDT2J99,4.10
2025-08-17,NuTag*RDT2J99,4.10
2025-08-16,Clube Latam Pass Matri,40.90
2025-08-16,Peg Pese,32.90
2025-08-15,Uber* Trip,9.97
2025-08-15,Uber Uber *Trip Help.U,15.96
2025-08-15,Recanto Olaria,25.00
2025-08-15,Dl *Google Vpn Super I,19.99
2025-08-15,Uber Uber *Trip Help.U,9.98
2025-08-15,Uber Uber *Trip Help.U,7.99
2025-08-15,Paygo*Studio Super,183.00
2025-08-15,Drogaria Catarinense,39.15
2025-08-15,Hospital Dona Helena,8.00
2025-08-14,NuTag*RDT2J99,3.50
2025-08-14,Uber Uber *Trip Help.U,12.66
2025-08-14,NuTag*RDT2J99,4.10
2025-08-14,Uber* Trip,9.96
2025-08-14,NuTag*RDT2J99,5.70
2025-08-14,Recanto Olaria,25.00
2025-08-14,Claudio Mendes,105.00
2025-08-14,NuTag*RDT2J99,4.10
2025-08-14,Galaxiafoods,43.90
2025-08-14,NuTag*RDT2J99,4.10
2025-08-14,NuTag*RDT2J99,5.70
2025-08-14,NuTag*RDT2J99,4.10
2025-08-14,NuTag*RDT2J99,4.10
2025-08-14,NuTag*RDT2J99,4.10
2025-08-13,Ebn *Sonyplaystatn,62.00
2025-08-13,Uber* Trip,12.67
2025-08-12,Brcombos Alimentacao,1.25
2025-08-12,Uber* Trip,13.97
2025-08-12,Uber* Trip,11.97
2025-08-12,Academia Store - Parcela 1/3,110.01
2025-08-11,Porto Consorcio,1987.00
2025-08-11,"Crédito de ""APPLE.COM/BILL""",-187.90
2025-08-10,Mercadopago *Comk,30.64
2025-08-10,Uber Uber *Trip Help.U,14.60
2025-08-10,Imagawayaki,10.00
2025-08-10,Speed Car,30.00
2025-08-10,Apple.Com/Bill,187.90
2025-08-10,Apple.Com/Bill,49.90
2025-08-09,Apple.Com/Bill,5.90
2025-08-08,Dl *Google Vpn Super I,19.99
2025-08-08,Pagamento recebido,-11879.46
2025-08-08,Ifd*37832784 Diogo Rau,25.68
2025-08-07,Alp*You Ke Store,22.93
2025-08-07,Alp*Didi Taxi,37.43
2025-08-07,Alp*Qingdao Metro,4.87
2025-08-07,"IOF de ""Alp*You Ke Store""",0.80
2025-08-07,"IOF de ""Alp*Didi Taxi""",1.31
2025-08-07,"IOF de ""Alp*Qingdao Metro""",0.17
2025-08-06,"IOF de ""Alp*Didi Taxi""",0.29
2025-08-06,Alp*Didi Taxi,8.43
2025-08-06,Mercadopago *Mercadol - Parcela 1/10,69.31
2025-08-06,Alp*Qingdaoluojiabian,1.20
2025-08-06,"IOF de ""Alp*Qingdaoluojiabian""",0.04
2025-08-05,Mercadopago *Ajimport - Parcela 2/2,273.69
2025-08-05,KaBuM! - NuPay - Parcela 10/10,289.96
2025-08-05,Mercadolivre*Jjimport - Parcela 6/10,161.40
2025-08-05,Ebn *Sonyplaystatn - Parcela 2/4,43.90
2025-08-05,Pg *G D Store Ltda War - Parcela 4/12,19.90
2025-08-05,Mercadolivre*3produto - Parcela 4/5,33.70
